площадь,цена,этаж,кол-во_комнат
34,1594800,7,5
128,4744139,5,3
77,8683382,5,2
35,14582522,10,2
97,12875472,24,5
78,6400421,3,5
135,3870572,9,5
33,3427873,15,3
84,19948007,17,5
22,8972719,18,2
29,14911228,20,3
68,5985761,10,2
34,12015519,24,5
52,8229279,7,1
64,8198293,3,2
43,7869279,15,1
87,9513146,12,5
74,18401112,5,1
30,4081121,21,1
60,10709054,14,3
83,17226033,16,5
85,13656862,23,2
143,19995665,4,3
50,19284126,7,4
95,16480221,11,1
127,13219680,22,5
74,5996983,7,3
88,5968450,23,3
88,7516233,9,4
148,8351176,13,1
27,4116528,21,2
49,2176075,4,2
140,15201928,23,3
107,18544188,11,1
77,4363724,16,3
79,16467273,4,3
106,8528394,23,1
135,19762457,18,3
49,10664110,12,2
43,2043426,11,2
118,9248192,13,1
23,6751611,4,4
27,2469465,24,5
117,5758978,15,3
112,6982225,5,4
21,15325279,2,1
149,17454319,4,5
108,7849041,7,3
129,17193830,16,4
147,11994579,19,5
72,7730263,3,5
43,13896352,17,2
44,1980552,23,2
146,12806415,14,4
53,11170272,20,4
102,15749192,14,1
142,4472533,22,3
119,13249968,6,5
47,5687691,22,4
107,19318355,4,4
45,11546094,6,5
144,19757017,11,2
131,8690678,9,5
59,3290141,14,5
54,15489703,2,3
121,18717187,13,1
120,13246785,12,2
137,17113079,8,5
23,2493741,7,1
28,13052812,24,4
64,17328145,3,3
50,11012800,10,1
118,8165031,6,4
107,3523275,21,1
58,18940791,19,5
90,1237217,23,4
33,7430737,9,3
21,6700399,13,1
40,3968669,23,3
43,1260887,11,4
132,12317782,4,5
23,11379245,15,2
34,5463646,3,4
110,3276578,10,2
41,15244743,8,4
149,10179803,11,1
21,9816128,24,5
27,6319789,4,2
63,6423220,2,1
143,2950764,16,1
101,17050967,18,5
47,11745281,15,2
137,13104317,10,3
62,2610933,13,5
46,18392648,5,2
109,8361501,13,4
67,9408023,4,2
21,15094337,3,1
145,16525087,15,4
113,4670998,15,1
138,11535470,20,4
62,4391305,6,4
91,8420882,12,2
135,5170566,13,4
50,4291014,15,4
76,11492206,3,1
64,19960603,4,4
41,10253504,14,4
28,16187791,19,3
69,3115934,5,5
44,13180660,20,1
32,5843919,14,5
57,5070948,8,4
124,3843535,18,1
86,15019104,14,4
35,19523897,20,5
123,9227118,15,1
21,3740643,24,2
88,1245303,11,3
22,10500463,14,3
128,5434679,19,3
75,15259584,8,2
99,15759120,11,3
122,2162612,22,4
45,15214312,19,5
86,7345251,24,4
129,10585497,9,4
97,4539804,24,1
35,3983527,10,5
34,3910811,3,4
116,16421846,20,4
92,11131598,1,5
101,1172563,2,5
85,1761416,20,4
43,1409516,2,2
63,7877294,4,4
56,13950560,6,4
40,15174585,5,2
111,16339715,17,2
100,5251770,23,2
120,5589336,18,3
109,8741033,18,5
97,5689351,5,4
72,18888063,23,2
61,6696802,22,5
24,13680529,8,2
134,7188780,7,3
135,12438358,13,5
138,16513552,19,3
60,5725249,4,5
145,9013410,20,2
134,6160691,4,5
128,19015269,5,1
118,8577854,6,4
58,1965822,15,4
24,2079124,4,4
68,13487356,22,4
130,11152658,4,5
44,19112533,12,2
33,4504765,3,1
22,8673807,24,5
69,10757264,21,5
32,13219344,7,2
141,10628627,21,1
23,1048164,19,4
96,19239828,3,1
66,10206933,18,5
107,5341637,24,2
85,1871669,5,1
57,7021134,5,1
100,18197603,21,1
36,8487686,12,4
140,4445365,20,4
30,5255278,24,2
117,2729381,15,5
60,5949134,8,5
80,13266658,10,4
54,17215749,16,1
89,18907856,22,1
125,9163363,12,2
54,19410749,24,4
